Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_STAT_BUSY,CPC_ME1_BUSY_FOR_PACKET_DECODE,CPF_CMP_UTCL1_STALL_ON_TRANSLATION,CPF_CPF_TCIU_IDLE,GRBM_GUI_ACTIVE,GRBM_SPI_BUSY,SPI_RA_SGPR_SIMD_FULL_CSN,SPI_VWC_CSC_WR,SQC_ICACHE_MISSES_DUPLICATE,SQC_TC_DATA_ATOMIC_REQ,SQ_IFETCH_LEVEL,SQ_INSTS_SENDMSG,SQ_INSTS_VALU_INT64,SQ_INSTS_VALU_TRANS_F64,SQ_LDS_MEM_VIOLATIONS,TA_ADDR_STALLED_BY_TD_CYCLES_sum,TA_BUFFER_READ_WAVEFRONTS_sum,TCP_TCC_RW_ATOMIC_REQ_sum,TCP_TOTAL_ACCESSES_sum,TCP_TOTAL_ATOMIC_WITHOUT_RET_sum,TCP_WRITE_TAGCONFLICT_STALL_CYCLES_sum,TD_LOAD_WAVEFRONT_sum,TD_TC_STALL_sum
0,0,1,83407,83407,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098727235054841,3098727235058321,1,7,108397.0,105245.0,3132.0,94028.0,108397.0,108397.0,0.0,8.0,7.0,0.0,41.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,4.0,3245.0
1,0,1,83407,83407,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098727235311641,3098727235317281,2,7,121942.0,105821.0,3225.0,98496.0,121942.0,121942.0,0.0,8.0,7.0,0.0,45.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,4.0,2261.0
2,0,1,83407,83407,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098727235536002,3098727235538682,3,7,95832.0,92043.0,3165.0,80754.0,95832.0,95832.0,0.0,8.0,7.0,0.0,38.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,4.0,2218.0
3,0,1,83407,83407,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098727235754403,3098727235759083,4,7,132056.0,116236.0,628.0,113578.0,132056.0,132056.0,0.0,8.0,7.0,0.0,52.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,8.0,2579.0
4,0,1,83407,83407,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098727235980804,3098727235983924,5,7,97708.0,76288.0,3031.0,87025.0,97708.0,97708.0,0.0,8.0,7.0,0.0,40.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,8.0,2598.0
5,0,1,83407,83407,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098727236203605,3098727236205365,6,7,112178.0,102346.0,3073.0,92703.0,112178.0,112178.0,0.0,8.0,7.0,0.0,35.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,8.0,2932.0
6,0,1,83407,83407,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098727236422726,3098727236426566,7,7,101898.0,98754.0,3081.0,87445.0,101898.0,101898.0,0.0,8.0,7.0,0.0,48.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,16.0,3464.0
7,0,1,83407,83407,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098727236648207,3098727236652447,8,7,132057.0,114321.0,3238.0,116991.0,132057.0,132057.0,0.0,8.0,7.0,0.0,58.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,16.0,2967.0
8,0,1,83407,83407,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098727236872248,3098727236878608,9,7,125313.0,109324.0,3316.0,101345.0,125313.0,125313.0,0.0,8.0,7.0,0.0,47.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,16.0,2799.0
9,0,1,83407,83407,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098727237106929,3098727237109649,10,7,109008.0,102325.0,3186.0,92888.0,109008.0,109008.0,0.0,8.0,7.0,0.0,47.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,4.0,2248.0
10,0,1,83407,83407,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098727237338530,3098727237342050,11,7,101175.0,83491.0,410.0,89806.0,101175.0,101175.0,0.0,8.0,7.0,0.0,38.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,4.0,2294.0
11,0,1,83407,83407,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098727237557531,3098727237560051,12,7,106082.0,91876.0,464.0,88083.0,106082.0,106082.0,0.0,8.0,7.0,0.0,40.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,8.0,2561.0
12,0,1,83407,83407,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098727237777532,3098727237780652,13,7,94791.0,89194.0,384.0,79661.0,94791.0,94791.0,0.0,8.0,7.0,0.0,48.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,8.0,2586.0
13,0,1,83407,83407,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098727237995173,3098727237997853,14,7,114083.0,103041.0,515.0,99841.0,114083.0,114083.0,0.0,8.0,7.0,0.0,38.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,8.0,2772.0
14,0,1,83407,83407,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098727238856216,3098727240621024,15,11,9941252.0,4877617.0,13924.0,9272300.0,9941252.0,9941252.0,0.0,2432.0,1395.0,0.0,2731190.0,2432.0,2432.0,0.0,0.0,0.0,4450560.0,0.0,109264896.0,0.0,115200.0,4479744.0,24352770.0
15,0,1,83407,83407,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098727240830745,3098727242860954,16,11,11456834.0,4901026.0,29421.0,10303321.0,11456834.0,10218581.0,0.0,2240.0,4080.0,0.0,2899861.0,3072.0,2432.0,0.0,0.0,0.0,4535520.0,0.0,112114176.0,0.0,115200.0,4645584.0,28722199.0
16,0,1,83407,83407,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098727243148156,3098727244491521,17,11,7549151.0,1730613.0,6098.0,7417174.0,7549151.0,7462911.0,0.0,0.0,1990.0,0.0,2732288.0,2432.0,2432.0,0.0,0.0,0.0,4450560.0,0.0,109264896.0,0.0,115200.0,4479744.0,34667430.0
17,0,1,83407,83407,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098727244699402,3098727246042408,18,11,7537962.0,1721778.0,3018.0,7529940.0,7537962.0,7464282.0,0.0,0.0,1968.0,0.0,2731540.0,2432.0,2432.0,0.0,0.0,0.0,4450560.0,0.0,109264896.0,0.0,115200.0,4479744.0,34534454.0
18,0,1,83407,83407,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098727246249089,3098727247592335,19,11,7543587.0,1728498.0,3055.0,7534756.0,7543587.0,7459851.0,0.0,0.0,1915.0,0.0,2730781.0,2432.0,2432.0,0.0,0.0,0.0,4450560.0,0.0,109264896.0,0.0,115200.0,4479744.0,34429742.0
19,0,1,83407,83407,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098727247834376,3098727249176342,20,11,7534258.0,1717264.0,304.0,7508235.0,7534258.0,7464498.0,0.0,0.0,1900.0,0.0,2732172.0,2432.0,2432.0,0.0,0.0,0.0,4450560.0,0.0,109264896.0,0.0,115200.0,4479744.0,34462389.0
20,0,1,83407,83407,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098727249385543,3098727250726669,21,11,7528929.0,1715546.0,304.0,7501571.0,7528929.0,7461537.0,0.0,0.0,1843.0,0.0,2731724.0,2432.0,2432.0,0.0,0.0,0.0,4450560.0,0.0,109264896.0,0.0,115200.0,4479744.0,34558780.0
