Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_STAT_IDLE,CPC_CPC_STAT_STALL,CPF_CPF_STAT_BUSY,SPI_RA_LDS_CU_FULL_CSN,SPI_RA_TGLIM_CU_FULL_CSN,SQC_TC_DATA_READ_REQ,SQC_TC_DATA_WRITE_REQ,SQC_TC_STALL,SQ_ACTIVE_INST_VALU,SQ_INSTS_VALU_FMA_F32,SQ_INST_LEVEL_LDS,SQ_VALU_MFMA_BUSY_CYCLES,TA_FLAT_WRITE_WAVEFRONTS_sum,TA_TA_BUSY_sum,TCC_NORMAL_EVICT_sum,TCC_UC_REQ_sum,TCP_GATE_EN2_sum,TCP_TCC_ATOMIC_WITHOUT_RET_REQ_sum,TCP_TCC_READ_REQ_sum,TCP_TOTAL_CACHE_ACCESSES_sum,TD_COALESCABLE_WAVEFRONT_sum
0,0,1,84316,84316,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098731497117220,3098731497120901,1,5,0.0,87241.0,135913.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,2.0,329378.0,7.0,28.0,2201711.0,0.0,1.0,4.0,4.0
1,0,1,84316,84316,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098731497390261,3098731497393141,2,5,0.0,70657.0,111318.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,2.0,269351.0,0.0,9.0,1804199.0,0.0,1.0,4.0,4.0
2,0,1,84316,84316,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098731497618182,3098731497620582,3,5,0.0,78658.0,120388.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,2.0,291407.0,0.0,9.0,1950749.0,0.0,1.0,4.0,4.0
3,0,1,84316,84316,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098731497852263,3098731497855303,4,5,0.0,65178.0,111704.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,4.0,271129.0,0.0,1.0,1809247.0,0.0,1.0,8.0,8.0
4,0,1,84316,84316,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098731498084544,3098731498087544,5,5,0.0,65768.0,98205.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,4.0,237985.0,0.0,9.0,1591227.0,0.0,1.0,8.0,8.0
5,0,1,84316,84316,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098731498320305,3098731498324265,6,5,0.0,67822.0,120280.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,4.0,291383.0,0.0,9.0,1948476.0,0.0,1.0,8.0,8.0
6,0,1,84316,84316,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098731498556146,3098731498559946,7,5,0.0,76377.0,127788.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,8.0,309671.0,0.0,9.0,2070797.0,0.0,1.0,16.0,16.0
7,0,1,84316,84316,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098731498784387,3098731498788067,8,5,0.0,85602.0,133982.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,8.0,325509.0,0.0,9.0,2171444.0,0.0,1.0,16.0,16.0
8,0,1,84316,84316,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098731499019668,3098731499026548,9,5,0.0,75931.0,130581.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,8.0,317206.0,0.0,9.0,2116280.0,0.0,1.0,16.0,16.0
9,0,1,84316,84316,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098731499258349,3098731499261229,10,5,0.0,76273.0,118222.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,2.0,286733.0,0.0,1.0,1915808.0,0.0,1.0,4.0,4.0
10,0,1,84316,84316,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098731499499471,3098731499502351,11,5,0.0,62356.0,106676.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,2.0,258386.0,0.0,1.0,1728273.0,0.0,1.0,4.0,4.0
11,0,1,84316,84316,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098731499729552,3098731499732592,12,5,0.0,59979.0,95595.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,4.0,231658.0,0.0,1.0,1549029.0,0.0,1.0,8.0,8.0
