Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_TCIU_BUSY,CPC_ME1_DC0_SPI_BUSY,SPI_RA_BAR_CU_FULL_CSN,SPI_RA_RES_STALL_CSN,SQ_INSTS_LDS,SQ_INSTS_VALU_MFMA_MOPS_I8,SQ_INSTS_VALU_MUL_F16,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_TRANS_F16,SQ_INST_LEVEL_SMEM,SQ_WAIT_INST_ANY,TA_ADDR_STALLED_BY_TC_CYCLES_sum,TA_BUFFER_TOTAL_CYCLES_sum,TCC_ALL_TC_OP_INV_EVICT_sum,TCC_ALL_TC_OP_WB_WRITEBACK_sum,TCC_EA0_WRREQ_LEVEL_sum,TCC_PROBE_sum,TCP_TCC_NC_WRITE_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCP_TCR_TCP_STALL_CYCLES_sum,TCP_UTCL1_TRANSLATION_MISS_sum
0,0,1,85231,85231,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098735683488750,3098735683492110,1,4,2990.0,2346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,268.0,0.0,0.0,2.0,0.0,2.0
1,0,1,85231,85231,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098735683767711,3098735683770671,2,4,2752.0,898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,189.0,0.0,0.0,2.0,0.0,2.0
2,0,1,85231,85231,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098735684007592,3098735684010312,3,4,1940.0,1774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,98.0,0.0,0.0,2.0,0.0,2.0
3,0,1,85231,85231,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098735684243393,3098735684246113,4,4,4017.0,2498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,173.0,0.0,0.0,4.0,0.0,2.0
4,0,1,85231,85231,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098735684477954,3098735684480554,5,4,3152.0,2552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,235.0,0.0,0.0,4.0,0.0,2.0
5,0,1,85231,85231,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098735684722556,3098735684726796,6,4,4074.0,2758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,161.0,0.0,0.0,4.0,0.0,2.0
6,0,1,85231,85231,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098735684961877,3098735684964357,7,4,3260.0,2599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,188.0,0.0,0.0,8.0,0.0,2.0
7,0,1,85231,85231,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098735685193918,3098735685197478,8,4,3228.0,2521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,102.0,0.0,0.0,8.0,0.0,2.0
8,0,1,85231,85231,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098735685439479,3098735685446559,9,4,3635.0,3268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,337.0,1.0,0.0,8.0,0.0,2.0
9,0,1,85231,85231,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098735685684200,3098735685690280,10,4,3893.0,3292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,241.0,0.0,0.0,2.0,0.0,2.0
10,0,1,85231,85231,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098735685928802,3098735685931842,11,4,3313.0,2558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,164.0,0.0,0.0,2.0,0.0,2.0
11,0,1,85231,85231,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098735686166083,3098735686169203,12,4,3261.0,2523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,172.0,0.0,0.0,4.0,0.0,2.0
12,0,1,85231,85231,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098735686410724,3098735686414244,13,4,3635.0,2521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,269.0,0.0,0.0,4.0,0.0,2.0
13,0,1,85231,85231,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098735686649285,3098735686652605,14,4,2851.0,2578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,196.0,0.0,0.0,4.0,0.0,2.0
14,0,1,85231,85231,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098735687466769,3098735689233298,15,11,140848.0,8672106.0,0.0,8596313.0,6469120.0,0.0,0.0,2838144.0,0.0,38874.0,55906454.0,9760034.0,27316224.0,0.0,16498.0,30081991.0,800.0,0.0,691200.0,7756.0,264.0
15,0,1,85231,85231,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098735689465059,3098735691530389,16,11,165138.0,8619888.0,0.0,8546665.0,6470956.0,0.0,0.0,2838144.0,0.0,237560.0,55989898.0,9711160.0,27636768.0,0.0,40540.0,58194116.0,54027.0,0.0,844131.0,28709.0,162.0
16,0,1,85231,85231,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098735691819151,3098735693165038,17,11,99116.0,5810559.0,0.0,0.0,6469120.0,0.0,0.0,2838144.0,0.0,57582.0,134472423.0,9731035.0,27316224.0,0.0,32390.0,30379123.0,0.0,0.0,691200.0,62597.0,206.0
17,0,1,85231,85231,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098735693389879,3098735694732325,18,11,91281.0,5801332.0,0.0,0.0,6469120.0,0.0,0.0,2838144.0,0.0,51086.0,134372227.0,9712940.0,27316224.0,0.0,21431.0,30150358.0,0.0,0.0,691200.0,24022.0,4.0
18,0,1,85231,85231,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098735694954206,3098735696295573,19,11,91371.0,5804798.0,0.0,0.0,6469120.0,0.0,0.0,2838144.0,0.0,51000.0,134484095.0,9718362.0,27316224.0,0.0,20908.0,30056745.0,0.0,0.0,691200.0,25084.0,4.0
19,0,1,85231,85231,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098735696549574,3098735697891341,20,11,91392.0,5802511.0,0.0,0.0,6469120.0,0.0,0.0,2838144.0,0.0,44746.0,134392247.0,9712955.0,27316224.0,0.0,21452.0,30133074.0,0.0,0.0,691200.0,28583.0,0.0
20,0,1,85231,85231,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098735698117942,3098735699459789,21,11,91320.0,5802466.0,0.0,0.0,6469120.0,0.0,0.0,2838144.0,0.0,48244.0,134510401.0,9713506.0,27316224.0,0.0,21181.0,30157082.0,0.0,0.0,691200.0,29401.0,0.0
21,0,1,85231,85231,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098735699690990,3098735701031757,22,11,90853.0,5798169.0,0.0,0.0,6469120.0,0.0,0.0,2838144.0,0.0,46240.0,134378483.0,9712183.0,27316224.0,0.0,21238.0,30162550.0,0.0,0.0,691200.0,22567.0,0.0
22,0,1,85231,85231,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098735701258398,3098735702896966,23,11,122597.0,5571009.0,0.0,0.0,6474832.0,0.0,0.0,2838144.0,0.0,499312.0,132576428.0,9777444.0,28313472.0,0.0,89865.0,117881310.0,22676.0,0.0,1167042.0,293637.0,460.0
