Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_UTCL2IU_IDLE,CPC_UTCL1_STALL_ON_TRANSLATION,CPF_CPF_STAT_IDLE,CPF_CPF_TCIU_STALL,SPI_CSN_BUSY,SPI_RA_WAVE_SIMD_FULL_CSN,SQC_DCACHE_MISSES_DUPLICATE,SQ_ACTIVE_INST_MISC,SQ_BUSY_CU_CYCLES,SQ_INSTS_VALU_MFMA_MOPS_F16,SQ_INSTS_VALU_MFMA_MOPS_F64,SQ_INST_LEVEL_VMEM,SQ_WAVES,TA_BUFFER_COALESCED_READ_CYCLES_sum,TA_TOTAL_WAVEFRONTS_sum,TCP_PENDING_STALL_CYCLES_sum,TCP_TCC_NC_ATOMIC_REQ_sum,TCP_TCC_UC_ATOMIC_REQ_sum,TCP_TCC_UC_READ_REQ_sum,TD_STORE_WAVEFRONT_sum,TD_TD_BUSY_sum
0,0,1,86140,86140,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098739953134060,3098739953137620,1,8,102730.0,6824.0,0.0,0.0,7199.0,0.0,0.0,42.0,1608.0,0.0,0.0,55.0,8.0,0.0,4.0,1969.0,0.0,0.0,1.0,2.0,1306757.0
1,0,1,86140,86140,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098739953381780,3098739953384540,2,8,94226.0,589.0,0.0,0.0,6083.0,0.0,0.0,42.0,1326.0,0.0,0.0,37.0,8.0,0.0,4.0,2154.0,0.0,0.0,1.0,2.0,1132366.0
2,0,1,86140,86140,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098739953603941,3098739953605421,3,8,112003.0,1346.0,0.0,0.0,6046.0,0.0,0.0,42.0,1302.0,0.0,0.0,35.0,8.0,0.0,4.0,2105.0,0.0,0.0,1.0,2.0,1353221.0
3,0,1,86140,86140,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098739953823622,3098739953826622,4,8,94760.0,650.0,0.0,0.0,6376.0,0.0,0.0,44.0,1410.0,0.0,0.0,44.0,8.0,0.0,8.0,2207.0,0.0,0.0,1.0,4.0,1139467.0
4,0,1,86140,86140,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098739954044303,3098739954047383,5,8,119754.0,800.0,0.0,0.0,6503.0,0.0,0.0,44.0,1360.0,0.0,0.0,47.0,8.0,0.0,8.0,2414.0,0.0,0.0,1.0,4.0,1437296.0
5,0,1,86140,86140,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098739954267144,3098739954273704,6,8,137644.0,2350.0,0.0,0.0,6677.0,0.0,0.0,44.0,1403.0,0.0,0.0,51.0,8.0,0.0,8.0,2591.0,0.0,0.0,1.0,4.0,1668942.0
6,0,1,86140,86140,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098739954497865,3098739954502345,7,8,107899.0,898.0,0.0,0.0,7677.0,0.0,0.0,48.0,1720.0,0.0,0.0,70.0,8.0,0.0,16.0,3076.0,0.0,0.0,1.0,8.0,1296586.0
7,0,1,86140,86140,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098739954721786,3098739954723906,8,8,114720.0,500.0,0.0,0.0,7139.0,0.0,0.0,48.0,1519.0,0.0,0.0,61.0,8.0,0.0,16.0,2511.0,0.0,0.0,1.0,8.0,1375374.0
8,0,1,86140,86140,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098739954941147,3098739954944947,9,8,131550.0,1848.0,0.0,0.0,7463.0,0.0,0.0,48.0,1695.0,0.0,0.0,64.0,8.0,0.0,16.0,2600.0,0.0,0.0,1.0,8.0,1590929.0
9,0,1,86140,86140,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098739955172948,3098739955176508,10,8,109683.0,1300.0,0.0,0.0,6043.0,0.0,0.0,42.0,1320.0,0.0,0.0,37.0,8.0,0.0,4.0,2076.0,0.0,0.0,1.0,2.0,1324096.0
