Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_TCIU_IDLE,CPC_CPC_UTCL2IU_BUSY,CPF_CPF_STAT_STALL,CPF_CPF_TCIU_BUSY,GRBM_COUNT,SPI_RA_VGPR_SIMD_FULL_CSN,SPI_SWC_CSC_WR,SQ_INSTS_GDS,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_MFMA_F16,SQ_INSTS_VALU_MFMA_F8,SQ_INSTS_VALU_TRANS_F32,SQ_LDS_UNALIGNED_STALL,SQ_LEVEL_WAVES,TA_BUFFER_WAVEFRONTS_sum,TA_BUFFER_WRITE_WAVEFRONTS_sum,TCP_ATOMIC_TAGCONFLICT_STALL_CYCLES_sum,TCP_READ_TAGCONFLICT_STALL_CYCLES_sum,TCP_TA_TCP_STATE_READ_sum,TCP_TCC_CC_READ_REQ_sum,TD_ATOMIC_WAVEFRONT_sum,TD_SPI_STALL_sum
0,0,1,87055,87055,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098744188722994,3098744188725394,1,5,122540.0,7372.0,3325.0,27309.0,125573.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1,0,1,87055,87055,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098744188976954,3098744188980114,2,5,109369.0,757.0,3238.0,12983.0,112233.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2,0,1,87055,87055,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098744189198795,3098744189202715,3,5,119064.0,1678.0,3333.0,24964.0,122687.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
3,0,1,87055,87055,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098744189430556,3098744189433676,4,5,113504.0,1968.0,515.0,15595.0,116530.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
4,0,1,87055,87055,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098744189657437,3098744189660517,5,5,113441.0,864.0,3164.0,12915.0,116781.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
5,0,1,87055,87055,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098744189879998,3098744189882638,6,5,117135.0,1200.0,3247.0,22871.0,120579.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
6,0,1,87055,87055,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098744190101279,3098744190105039,7,5,100226.0,432.0,3086.0,11714.0,101815.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
7,0,1,87055,87055,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098744190321560,3098744190324040,8,5,114935.0,1354.0,3310.0,15480.0,118522.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
8,0,1,87055,87055,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098744190543121,3098744190547521,9,5,105487.0,576.0,3177.0,10771.0,108292.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
9,0,1,87055,87055,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098744190768283,3098744190771123,10,5,117202.0,576.0,3295.0,19942.0,119629.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
10,0,1,87055,87055,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098744190989884,3098744190992844,11,5,117942.0,1536.0,517.0,15695.0,121094.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
11,0,1,87055,87055,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098744191216325,3098744191219725,12,5,100375.0,1008.0,410.0,11512.0,103611.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
12,0,1,87055,87055,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098744191438046,3098744191440566,13,5,104001.0,910.0,385.0,18489.0,107057.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
13,0,1,87055,87055,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,3098744191656287,3098744191659367,14,5,92438.0,528.0,385.0,14920.0,94282.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
